plate_name	well_name
HUPFP0039_2	F10
HUPFP0042_1	A01
HUPFP0042_1	G04
HUPFP0042_10	A01
HUPFP0042_10	B02
HUPFP0042_10	E07
HUPFP0042_2A	C09
HUPFP0042_2A	C09
HUPFP0042_2A	E09
HUPFP0042_2A	E09
HUPFP0042_2B	A06
HUPFP0042_2B	D03
HUPFP0042_2B	G10
HUPFP0042_4	C12
HUPFP0042_4	F01
HUPFP0042_4	H01
HUPFP0042_6	A05
HUPFP0042_6	B09
HUPFP0042_6	D02
HUPFP0042_6	D11
HUPFP0042_6	F01
HUPFP0042_6	F05
HUPFP0042_7	A02
HUPFP0042_7	A03
HUPFP0042_7	B07
HUPFP0042_7	B11
HUPFP0042_7	D04
HUPFP0042_7	G05
HUPFP0044_1	A08
HUPFP0044_1	A09
HUPFP0044_1	B02
HUPFP0044_1	B03
HUPFP0044_1	C03
HUPFP0044_1	E01
HUPFP0044_1	F06
HUPFP0044_1	G02
HUPFP0044_1	G12
HUPFP0044_11	C06
HUPFP0044_11	F01
HUPFP0044_11	F08
HUPFP0044_11	H08
HUPFP0044_9	A03
HUPFP0044_9	B02
HUPFP0044_9	C06
HUPFP0044_9	G01
HUPFP0045_12	A01
HUPFP0045_12	A03
HUPFP0045_12	E02
HUPFP0045_12	F02
HUPFP0045_12	G01
HUPFP0045_5	B04
HUPFP0045_7	A02
HUPFP0045_7	A05
HUPFP0045_7	A11
HUPFP0045_7	H11
HUPFP0046_15	A08
HUPFP0046_15	D06
HUPFP0046_15	G07
HUPFP0046A11	B04
HUPFP0046A11	B10
HUPFP0046A11	H12
HUPFP0047_4	D04
HUPFP0047_4	F12
HUPFP0047_4	G06
HUPFP0047_8	B04
HUPFP0047_8	B05
HUPFP0047_8	C07
HUPFP0047_8	H07
HUPFP0047_9	C10
HUPFP0047_9	D02
HUPFP0047_9	G09
HUPFP0048_10	A02
HUPFP0048_10	A06
HUPFP0048_10	B03
HUPFP0048_10	B05
HUPFP0048_10	E05
HUPFP0048_10	H02
HUPFP0048_14	A03
HUPFP0048_14	B02
HUPFP0048_14	C05
HUPFP0048_14	D01
HUPFP0048_14	D04
HUPFP0048_14	G11
HUPFP0048_16	F02
HUPFP0048_4A	A02
HUPFP0048_4A	A10
HUPFP0048_4A	G01
HUPFP0048_4A	H12
HUPFP0050A3	D07
HUPFP0050A3	D10
HUPFP0050A3	F09
HUPFP0050A3	G05
HUPFP0050A5	D01
HUPFP0050A8	A03
HUPFP0050A8	A11
HUPFP0050A8	B07
HUPFP0050A8	B11
HUPFP0050A8	D05
HUPFP0051_6	B03
HUPFP0051_6	B05
HUPFP0051_6	D05
HUPFP0051_6	F04
HUPFP0051_7	C02
HUPFP0051_7	G06
HUPFP0051A2	A11
HUPFP0051A2	B03
HUPFP0051A2	B05
HUPFP0051A2	E11
HUPFP0051A2	G11
HUPFP0051A2	H06
HUPFP0052_1	A04
HUPFP0052_1	B04
HUPFP0052_1	F06
HUPFP0052_3	B11
HUPFP0052_3	C06
HUPFP0052_3	C08
HUPFP0052_3	D11
HUPFP0052_3	E09
HUPFP0052_3	F02
HUPFP0052_3	G09
HUPFP0052_3	G10
HUPFP0052_3	H04
HUPFP0052_3	H07
HUPFP0052_8	H12
HUPFP0052A4	A11
HUPFP0052A4	F01
HUPFP0052A4	H06
HUPFP0052A6	A01
HUPFP0052A6	A08
HUPFP0052A6	B03
HUPFP0052A6	B10
HUPFP0052A6	D08
HUPFP0052A6	E06
HUPFP0057A2	A12
HUPFP0057A2	C06
HUPFP0057A2	C10
HUPFP0057A2	C12
HUPFP0057A2	F02
HUPFP0057A2	H08
HUPFP0057A3	D12
HUPFP0057A3	E01
HUPFP0059A1	A02
HUPFP0059A1	A11
HUPFP0059A1	B02
HUPFP0059A1	G02
HUPFP0060A12	E03
HUPFP0060A6	A09
HUPFP0060A6	B02
HUPFP0060A6	B10
HUPFP0060A6	D04
HUPFP0060A6	F02
HUPFP0060A6	G12
HUPFP0061A1	A06
HUPFP0061A1	B06
HUPFP0061A3	A03
HUPFP0061A3	A06
HUPFP0061A3	E07
HUPFP0061A3	G01
HUPFP0061A3	H08
HUPFP0061A3	H11
HUPFP0062A1	A02
HUPFP0062A1	A03
HUPFP0062A1	B06
HUPFP0062A1	H12
HUPFP0062A3	A04
HUPFP0062A3	B06
HUPFP0062A3	C09
HUPFP0062A3	C10
HUPFP0062A3	F10
HUPFP0062A3	G07
HUPFP0063A5	A01
HUPFP0063A5	D09
HUPFP0063A5	E03
HUPFP0063A5	F05
HUPFP0065A5	B06
HUPFP0065A5	C04
HUPFP0065A8	B03
HUPFP0065A8	C06
HUPFP0065A8	C08
HUPFP0065A8	D10
HUPFP0065A8	F09
HUPFP0065A8	H05
HUPFP0065A8	H09
HUPFP0066A2	A03
HUPFP0066A2	B05
HUPFP0066A2	B07
HUPFP0066A2	C12
HUPFP0066A2	E11
HUPFP0066A2	F02
HUPFP0066A3	A03
HUPFP0066A3	B01
HUPFP0066A3	B05
HUPFP0066A3	C04
HUPFP0066A6	A02
HUPFP0066A6	B04
HUPFP0066A6	B11
HUPFP0066A6	E03
HUPFP0066A6	F01
HUPFP0066A6	G06
HUPFP0066A8	A01
HUPFP0066A8	A03
HUPFP0066A8	A08
HUPFP0066A8	B02
HUPFP0066A8	D09
HUPFP0066A8	G08
HUPFP0066A9	B01
HUPFP0066A9	B03
HUPFP0066A9	B04
HUPFP0066A9	C02
HUPFP0066A9	C04
HUPFP0066A9	G02
HUPFP0067A1	A03
HUPFP0067A1	A09
HUPFP0067A1	B07
HUPFP0067A1	B08
HUPFP0067A1	C02
HUPFP0067A1	C04
HUPFP0067A1	D11
HUPFP0067A1	E02
HUPFP0067A1	E09
HUPFP0067A1	G03
HUPFP0067A1	G04
HUPFP0067A1	G07
HUPFP0067A1	H01
HUPFP0067A2	A05
HUPFP0067A2	A07
HUPFP0067A2	A09
HUPFP0067A2	A12
HUPFP0067A2	B02
HUPFP0067A2	B07
HUPFP0067A2	B11
HUPFP0067A2	C07
HUPFP0067A2	D04
HUPFP0067A2	D07
HUPFP0067A2	G11
HUPFP0067A2	H01
HUPFP0067A3	A05
HUPFP0067A3	A11
HUPFP0067A3	B01
HUPFP0067A3	B03
HUPFP0067A3	B05
HUPFP0067A3	B06
HUPFP0067A3	B10
HUPFP0067A3	B12
HUPFP0067A3	C01
HUPFP0067A3	C02
HUPFP0067A3	C03
HUPFP0067A5	A03
HUPFP0067A5	A04
HUPFP0067A5	A06
HUPFP0067A5	A11
HUPFP0067A6	A10
HUPFP0067A6	B10
HUPFP0067A6	C10
HUPFP0067A6	D03
HUPFP0067A6	D10
HUPFP0067A6	E08
HUPFP0067A6	E10
HUPFP0067A6	H09
HUPFP0067A7	A01
HUPFP0067A7	A02
HUPFP0067A7	A04
HUPFP0067A7	A07
HUPFP0067A7	B07
HUPFP0067A7	B07
HUPFP0067A7	C03
HUPFP0067A7	C07
HUPFP0067A7	D07
HUPFP0067A7	E07
HUPFP0067A7	F01
HUPFP0067A7	F03
HUPFP0067A7	F07
HUPFP0067A7	F09
HUPFP0067A7	H04
HUPFP0067A9	A07
HUPFP0067A9	B07
HUPFP0067A9	C05
HUPFP0067A9	C07
HUPFP0067A9	C10
HUPFP0067A9	D07
HUPFP0067A9	D09
HUPFP0067A9	E01
HUPFP0067A9	E07
HUPFP0067A9	F08
HUPFP0067A9	F08
HUPFP0067A9	G12
HUPFP0067A9	H02
HUPFP0067A9	H03
HUPFP0067A9	H07
HUPFP0067A9	H09
HUPFP0067B6	B04
HUPFP0067B6	C05
HUPFP0067B6	D03
HUPFP0067B6	D12
HUPFP0067B6	E01
HUPFP0068A2	A01
HUPFP0068A2	A02
HUPFP0068A2	A03
HUPFP0068A2	A04
HUPFP0068A2	A05
HUPFP0068A2	A06
HUPFP0068A2	C06
HUPFP0068A2	C08
HUPFP0068A2	F03
HUPFP0068A2	F08
HUPFP0068A2	G05
HUPFP0068A2	H04
HUPFP0068A3	A01
HUPFP0068A3	A02
HUPFP0068A3	A08
HUPFP0068A3	B01
HUPFP0068A3	B04
HUPFP0068A3	C02
HUPFP0068A3	D01
HUPFP0068A3	D02
HUPFP0068A3	D03
HUPFP0068A3	D04
HUPFP0068A3	D06
HUPFP0068A3	E03
HUPFP0068A3	E09
HUPFP0068A3	E12
HUPFP0068A3	F01
HUPFP0068A3	G04
HUPFP0068A3	G12
HUPFP0068A3	H01
HUPFP0068A3	H06
HUPFP0068A6	A01
HUPFP0068A6	A02
HUPFP0068A6	A08
HUPFP0068A6	A11
HUPFP0068A6	B07
HUPFP0068A6	B08
HUPFP0068A6	B09
HUPFP0068A6	C01
HUPFP0068A6	C05
HUPFP0068A6	C06
HUPFP0068A7	A03
HUPFP0068A7	B08
HUPFP0068A7	B11
HUPFP0068A7	D07
HUPFP0068A7	D10
HUPFP0068A7	E01
HUPFP0068A7	E02
HUPFP0068A7	E09
HUPFP0068A7	H01
HUPFP0068A7	H02
HUPFP0068A7	H08
HUPFP0068A7	H09
HUPFP0068A8	A10
HUPFP0068A8	A12
HUPFP0068A8	B05
HUPFP0068A8	C04
HUPFP0068A8	C09
HUPFP0068A8	E10
HUPFP0068B3	C07
HUPFP0068B3	E08
HUPFP0068B3	E09
HUPFP0068B3	G12
HUPFP0068B3	H09
HUPFP0068B8	B08
HUPFP0068D8	D12
HUPFP0068E8	B01
HUPFP0068E8	B06
HUPFP0068E8	D10
HUPFP0068E8	E02
HUPFP0069A3	A01
HUPFP0069A3	A02
HUPFP0069A3	A04
HUPFP0069A3	A05
HUPFP0069A3	A06
HUPFP0069A6	A05
HUPFP0069A6	A08
HUPFP0069A6	B01
HUPFP0069A6	C04
HUPFP0069A6	C06
HUPFP0069A6	C07
HUPFP0069A6	C12
HUPFP0069A6	E07
HUPFP0069A6	F11
HUPFP0069A6	F12
HUPFP0069A6	H03
HUPFP0069A6	H04
HUPFP0069A7	C07
HUPFP0069A7	D08
HUPFP0069A7	H09
HUPFP0069B7	A02
HUPFP0069B7	D03
HUPFP0069B7	E01
HUPFP0069B7	F03
HUPFP0069B7	F06
HUPFP0069B7	G01
HUPFP0069B7	G10
HUPFP0072A12	B03
HUPFP0072A12	H06
HUPFP0072A14	A07
HUPFP0072A14	G05
HUPFP0072A2	C05
HUPFP0072A2	D07
HUPFP0072A2	G02
HUPFP0072A2	H04
HUPFP0072A8	C07
HUPFP0072A8	F06
HUPFP0073A1	B02
HUPFP0073A1	B10
HUPFP0073A1	E10
HUPFP0073A1	F11
HUPFP0073A12	A05
HUPFP0073A12	A07
HUPFP0073A12	A12
HUPFP0073A12	B03
HUPFP0073A12	D04
HUPFP0073A12	E09
HUPFP0073A12	F01
HUPFP0073A12	G03
HUPFP0073A12	G06
HUPFP0073A14	A01
HUPFP0073A14	A07
HUPFP0073A14	A10
HUPFP0073A14	D07
HUPFP0073A14	F05
HUPFP0073A14	F10
HUPFP0073A14	F11
HUPFP0073A14	H02
HUPFP0073A14	H07
HUPFP0073A16	A12
HUPFP0073A16	B06
HUPFP0073A16	C07
HUPFP0073A16	D08
HUPFP0073A16	F04
HUPFP0073A16	F12
HUPFP0073A3	H01
HUPFP0073A3	H05
HUPFP0073A6	A01
HUPFP0073A6	A06
HUPFP0073A6	B11
HUPFP0073A6	C04
HUPFP0073A6	C08
HUPFP0073A6	C12
HUPFP0073A6	E05
HUPFP0073A6	F05
HUPFP0073A6	G10
HUPFP0073A8	B03
HUPFP0073A8	C03
HUPFP0073A8	C05
HUPFP0073A8	C06
HUPFP0073A8	D05
HUPFP0073A8	G06
HUPFP0073A9	A08
HUPFP0073A9	A08
HUPFP0073A9	A11
HUPFP0073A9	D02
HUPFP0073A9	D03
HUPFP0073A9	E02
HUPFP0073A9	F04
HUPFP0073A9	G04
HUPFP0073A9	G10
HUPFP0073A9	H08
HUPFP0074A1	A06
HUPFP0074A1	B01
HUPFP0074A1	C08
HUPFP0074A1	D04
HUPFP0074A1	D05
HUPFP0074A1	E02
HUPFP0074A1	E11
HUPFP0074A1	H03
HUPFP0074A1	H05
HUPFP0074A10	B09
HUPFP0074A10	C02
