experiment,well_name,process,Gene,parent_plate,parent_well
KMT2D_2_AA,F6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F6
KMT2D_2_AA,G6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G6
KMT2D_2_AA,H6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H6
KMT2D_2_AA,A7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A7
KMT2D_2_AA,B7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B7
KMT2D_2_AA,C7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C7
KMT2D_2_AA,D7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D7
KMT2D_2_AA,E7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E7
KMT2D_2_AA,F7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F7
KMT2D_2_AA,G7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G7
KMT2D_2_AA,H7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H7
KMT2D_2_AA,A8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A8
KMT2D_2_AA,B8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B8
KMT2D_2_AA,C8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C8
KMT2D_2_AA,D8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D8
KMT2D_2_AA,E8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E8
KMT2D_2_AA,F8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F8
KMT2D_2_AA,G8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G8
KMT2D_2_AA,H8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H8
KMT2D_2_AA,A9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A9
KMT2D_2_AA,B9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B9
KMT2D_2_AA,C9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C9
KMT2D_2_AA,D9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D9
KMT2D_2_AA,E9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E9
KMT2D_2_AA,F9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F9
KMT2D_2_AA,G9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G9
KMT2D_2_AA,H9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H9
KMT2D_2_AA,A10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A10
KMT2D_2_AA,B10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B10
KMT2D_2_AA,C10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C10
KMT2D_2_AA,D10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D10
KMT2D_2_AA,E10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E10
KMT2D_2_AA,F10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F10
KMT2D_2_AA,G10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G10
KMT2D_2_AA,H10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H10
KMT2D_2_AA,A11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A11
KMT2D_2_AA,B11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B11
KMT2D_2_AA,C11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C11
KMT2D_2_AA,D11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D11
KMT2D_2_AA,E11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E11
KMT2D_2_AA,F11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F11
KMT2D_2_AA,G11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G11
KMT2D_2_AA,H11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H11
KMT2D_2_AA,A12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A12
KMT2D_2_AA,B12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B12
KMT2D_2_AA,C12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C12
KMT2D_2_AA,D12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D12
KMT2D_2_AA,E12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E12
KMT2D_2_AA,F12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F12
KMT2D_2_AA,G12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G12
KMT2D_2_AA,H12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H12
KMT2D_2_AB,A1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A1
KMT2D_2_AB,B1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B1
KMT2D_2_AB,C1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C1
KMT2D_2_AB,D1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D1
KMT2D_2_AB,E1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E1
KMT2D_2_AB,F1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F1
KMT2D_2_AB,G1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G1
KMT2D_2_AB,H1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H1
KMT2D_2_AB,A2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A2
